product,NBD,NBFD,NBMD,NBD-LOC,NBFD-LOC,NBMD-LOC,PBD,PBFD,PBMD,PBD-LOC,PBFD-LOC,PBMD-LOC,unique_unresolved_count,unique_resolved_count,unresolved_count,resolved_count
mozillasecurity/grizzly,6,250,4586,25649,70488,66185,30.0,73.52941176470588,88.22624086186995,22.843173053801554,62.77709003143842,83.67256637168141,6,266,6,1760
mozillasecurity/ffpuppet,0,2,457,0,165,5750,0.0,15.384615384615385,81.02836879432624,0.0,1.5736766809728182,81.94385064842525,0,10,0,17
mozillasecurity/funfuzz,3,444,5960,16187,139125,110220,42.857142857142854,96.73202614379085,99.34989164860811,10.773449407317187,92.59629015833715,98.97451554390186,1,55,30,68
buckket/twtxt,6,108,2586,6760,40738,415x06,46.15384615384615,79.41176470588235,93.86569872958258,10.491843988142353,63.22732845990284,90.8028877707285,0,71,199,130
simetenn/uncertainpy,13,1618,27413,46265,751264,586765,44.827586206896555,89.49115044247787,96.75290297532912,5.13023238793938,83.30614729693916,94.95670214539211,820,31521,30841,191429
foremast/foremast,31,1386,18896,229031,363188,230790,65.95744680851064,94.93150684931507,97.61843260835873,56.24478148544709,89.19067592656262,96.32906901517207,190,681,1903,4620
onecodex/onecodex,10,575,6434,22946,161238,93907,45.45454545454545,91.12519809825673,95.40332147093713,11.888072035105717,83.53564711916567,93.5934619026262,20,291,212,518
certbot/certbot,8,250,5492,41860,91095,77060,42.10526315789473,81.43322475570032,93.89639254573432,33.777949922131576,73.50698395022877,92.157191035423,7,340,1284,637
ejeschke/ginga,1,737,11733,2840,201284,255718,14.285714285714285,80.63457330415756,91.9874558996472,0.7058846922442162,50.029329011860845,87.77184359382723,1001,11179,13172,43156
slaclab/pydm,7,1098,16365,37775,456688,367243,50.0,92.42424242424242,95.56762438682551,7.1186146827199055,86.06183725273297,95.04538196160844,1377,19125,25016,152351
dropbox/dropbox-sdk-python,48,1375,19056,454733,482524,255502,94.11764705882352,99.13482335976929,99.75396534575721,92.98368660616792,98.66638312142416,99.61285795044738,24,913,263,5153
dropbox/stone,1,6,223,998,5615,3980,50.0,85.71428571428571,89.91935483870968,14.866676597646359,83.64367644868166,86.16583676120374,6,2,9,2
dropbox/pyhive,2,243,2188,41302,47305,29019,66.66666666666666,99.59016393442623,98.69192602616148,84.43108876078335,96.70264524305982,96.79452968645764,1,193,98,329
pysb/pysb,1,1698,25278,47859,878697,590691,20.0,93.8121546961326,97.88947837199396,4.81391215482895,88.38400653402148,96.46659382976743,1036,19008,22308,152462
uqfoundation/pathos,1,40,882,1534,10419,9925,25.0,72.72727272727273,88.73239436619718,8.360128617363344,56.7823859610878,81.82867507626351,0,39,10,64
python-amazon-mws/python-amazon-mws,3,63,866,16103,28095,21848,60.0,86.3013698630137,98.1859410430839,49.22357400501314,85.88066271321146,98.47207824401677,0,40,6,43
gcovr/gcovr,0,327,1943,0,120753,26186,0.0,91.59663865546219,95.80867850098619,0.0,87.10389451132863,93.29485535128973,5,26,25,59
pydanny/cached-property,11,388,9709,157764,185060,123437,91.66666666666666,99.74293059125964,99.96911037891269,85.13885441063776,99.86940238097807,99.98299016669637,21,86,520,161
