product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,total_dependencies_count,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
mozillasecurity/grizzly,185,46882,1816,35022,5198,79100,340,112283,20,6,25649,255,72371,4618,66834,1,1,0,1,0
mozillasecurity/funfuzz,38,6226,191,4919,5999,111362,459,150249,7,3,16187,444,139125,5960,110220,0,1,0,0,0
buckket/twtxt,13,1551,102,942,2755,45710,136,64431,13,4,4982,106,39214,2585,41496,1,0,0,1,0
foremast/foremast,159,13854,372,8712,19357,239585,1460,407204,47,28,227662,1384,367934,18913,230895,0,2,0,0,0
onecodex/onecodex,49,9990,387,7775,6744,100335,631,193017,22,10,22524,577,160496,6441,94015,0,1,0,0,0
certbot/certbot,227,43042,1902,29433,5849,83618,307,123927,19,8,41860,251,91394,5524,77488,2,1,0,2,0
slaclab/pydm,113,32462,1563,21650,17124,386387,1188,530651,14,6,36777,1100,455087,16389,366629,0,1,0,0,0
dropbox/dropbox-sdk-python,39,156142,9634,73732,19103,256495,1387,489046,51,47,453735,1374,481526,19054,255479,0,2,0,0,0
python-amazon-mws/python-amazon-mws,35,5890,240,3839,882,22187,73,32714,5,3,16103,63,28095,866,21848,0,1,0,0,0
opendatacube/datacube-core,166,42368,2582,31089,38885,701134,1794,958525,54,22,46203,1395,516889,36089,613408,0,1,0,0,0
opendatacube/eo-datasets,32,14812,479,10432,53651,987391,2695,1357157,68,41,370524,2435,1100349,52028,935039,0,1,0,0,0
opendatacube/datacube-explorer,56,18190,632,12448,59606,1084334,3061,1511618,86,53,721707,2709,1150119,57459,1022447,0,1,0,0,0
pydanny/cached-property,3,237,15,88,9712,123458,389,185302,12,11,157764,388,185060,9709,123437,0,1,0,0,0
pydanny/cookiecutter-django,28,1559,81,874,18148,247817,1233,404729,69,63,298511,1209,389465,18060,246038,0,2,0,0,0
cedadev/cf-checker,3,3580,91,3298,4060,103943,262,142143,6,4,5350,250,111947,4010,101706,0,1,0,0,0
cedadev/cis,69,17714,949,14258,31256,657514,1851,966504,37,22,179196,1688,755454,30100,616405,0,1,0,0,0
dbt-labs/dbt,199,52533,3473,31542,14119,255251,1114,348934,45,19,81791,988,293360,13773,246519,0,1,0,0,0
python-visualization/folium,41,8083,165,3170,5534,131916,344,182924,9,4,16470,313,143829,5418,127973,0,1,0,0,0
instaloader/instaloader,11,5395,350,4248,882,22187,73,32714,5,2,4727,53,24977,762,19557,0,1,0,0,0
googleapis/google-api-python-client,73,12793,335,8223,4307,69972,509,137257,18,14,122637,499,133045,4261,68936,0,1,0,0,0
opentok/opentok-python-sdk,16,3387,121,2594,2780,44884,171,69441,11,4,18823,133,45533,2626,42039,0,1,0,0,0
newrelic/newrelic-python-agent,285,60545,2920,40360,1380,28194,99,41181,8,6,28807,96,39729,1358,27820,0,1,0,0,0
aamalev/aiohttp_apiset,17,3314,300,2439,2530,39367,143,56404,14,7,16408,124,44186,2502,38426,1,0,0,1,0
anaconda-platform/anaconda-client,66,8525,423,5988,1750,35279,130,52208,10,4,18739,103,39126,1673,33549,0,1,0,0,0
syncplay/syncplay,61,24193,1206,12121,16126,189802,872,313155,20,10,79288,756,228039,15528,180718,2,0,0,1,1
aschn/drf-tracking,19,677,24,211,17392,223637,1598,362780,40,36,181158,1571,343241,17292,221851,0,1,0,0,0
pygithub/pygithub,136,32811,2225,22354,3856,54433,228,80581,12,5,41486,200,69440,3755,52304,0,2,0,0,0
django-es/django-elasticsearch-dsl,27,1974,82,953,2204,39446,180,58753,6,3,19392,166,50291,2159,38575,0,1,0,0,0
sabnzbd/sabnzbd,72,40095,1504,28675,8601,103012,528,190936,29,15,62697,399,141677,8240,95244,2,0,0,2,0
ctpug/wafer,150,7970,352,3219,19972,265385,1685,391412,41,19,119359,1486,297117,19050,247538,0,1,0,0,0
