project,package_name,status,activation_status
mozillasecurity/grizzly,certifi,Transitive,Bloated
mozillasecurity/grizzly,cryptography,Direct,Inactive
mozillasecurity/funfuzz,certifi,Transitive,Bloated
buckket/twtxt,aiohttp,Direct,Inactive
foremast/foremast,certifi,Transitive,Bloated
foremast/foremast,cryptography,Direct,Bloated
onecodex/onecodex,certifi,Transitive,Bloated
certbot/certbot,certifi,Unresolved,Bloated
certbot/certbot,cryptography,Unresolved,Inactive
certbot/certbot,configobj,Unresolved,Inactive
slaclab/pydm,certifi,Transitive,Bloated
dropbox/dropbox-sdk-python,cryptography,Transitive,Bloated
dropbox/dropbox-sdk-python,certifi,Transitive,Bloated
python-amazon-mws/python-amazon-mws,certifi,Transitive,Bloated
pydanny/cached-property,py,Unresolved,Bloated
pydanny/cookiecutter-django,cryptography,Unresolved,Bloated
pydanny/cookiecutter-django,certifi,Unresolved,Bloated
cedadev/cf-checker,certifi,Transitive,Bloated
python-visualization/folium,certifi,Transitive,Bloated
instaloader/instaloader,certifi,Transitive,Bloated
googleapis/google-api-python-client,certifi,Transitive,Bloated
opentok/opentok-python-sdk,certifi,Transitive,Bloated
newrelic/newrelic-python-agent,certifi,Unresolved,Bloated
aamalev/aiohttp_apiset,aiohttp,Direct,Inactive
anaconda-platform/anaconda-client,certifi,Transitive,Bloated
pygithub/pygithub,cryptography,Transitive,Bloated
pygithub/pygithub,certifi,Transitive,Bloated
django-es/django-elasticsearch-dsl,certifi,Transitive,Bloated
bear/python-twitter,certifi,Transitive,Bloated
a10networks/acos-client,certifi,Transitive,Bloated
coala/coala,certifi,Transitive,Bloated
sorgerlab/indra,certifi,Transitive,Bloated
stencila/hub,certifi,Unresolved,Bloated
stencila/hub,aiohttp,Unresolved,Bloated
globus/globus-cli,certifi,Transitive,Bloated
globus/globus-cli,cryptography,Direct,Inactive
globus/globus-sdk-python,certifi,Transitive,Bloated
globus/globus-sdk-python,cryptography,Direct,Inactive
micropyramid/django-mfa,cryptography,Transitive,Bloated
micropyramid/forex-python,certifi,Transitive,Bloated
