product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
mozillasecurity/grizzly,185,46882,1816,35022,5198,79100,340,112283,14,86634,85,39912,586,12266,20,20,6,25649,255,72371,4618,66834,1,1,0,1,0
mozillasecurity/funfuzz,38,6226,191,4919,5999,111362,459,150249,4,134062,15,11124,39,1142,7,7,3,16187,444,139125,5960,110220,0,1,0,0,0
buckket/twtxt,13,1551,102,942,2755,45710,136,64431,9,59449,30,25217,175,4214,13,13,4,4982,106,39214,2585,41496,1,0,0,1,0
foremast/foremast,159,13854,372,8712,19357,239585,1460,407204,19,179542,76,39270,444,8690,47,47,28,227662,1384,367934,18913,230895,0,2,0,0,0
onecodex/onecodex,49,9990,387,7775,6744,100335,631,193017,12,170493,54,32521,305,6320,22,22,10,22524,577,160496,6441,94015,0,1,0,0,0
certbot/certbot,227,43042,1902,29433,5849,83618,307,123927,11,82067,56,32533,358,6130,19,19,8,41860,251,91394,5524,77488,2,1,0,2,0
slaclab/pydm,113,32462,1563,21650,17124,386387,1188,530651,8,493874,88,75564,735,19758,14,14,6,36777,1100,455087,16389,366629,0,1,0,0,0
dropbox/dropbox-sdk-python,39,156142,9634,73732,19103,256495,1387,489046,4,35311,13,7520,56,1016,51,51,47,453735,1374,481526,19054,255479,0,2,0,0,0
python-amazon-mws/python-amazon-mws,35,5890,240,3839,882,22187,73,32714,2,16611,10,4619,17,339,5,5,3,16103,63,28095,866,21848,0,1,0,0,0
opendatacube/datacube-core,166,42368,2582,31089,38885,701134,1794,958525,32,912322,399,441636,2855,87726,54,54,22,46203,1395,516889,36089,613408,0,1,0,0,0
opendatacube/eo-datasets,32,14812,479,10432,53651,987391,2695,1357157,27,986633,260,256808,1666,52352,68,68,41,370524,2435,1100349,52028,935039,0,1,0,0,0
opendatacube/datacube-explorer,56,18190,632,12448,59606,1084334,3061,1511618,33,789911,352,361499,2210,61887,86,86,53,721707,2709,1150119,57459,1022447,0,1,0,0,0
pydanny/cached-property,3,237,15,88,9712,123458,389,185302,1,27538,1,242,3,21,12,12,11,157764,388,185060,9709,123437,0,1,0,0,0
pydanny/cookiecutter-django,28,1559,81,874,18148,247817,1233,404729,6,106218,24,15264,89,1779,69,69,63,298511,1209,389465,18060,246038,0,2,0,0,0
cedadev/cf-checker,3,3580,91,3298,4060,103943,262,142143,2,136793,12,30196,50,2237,6,6,4,5350,250,111947,4010,101706,0,1,0,0,0
