,Name,Status,Bloat Files,Used Files,Bloated Functions,Used Functions,percentage_bloated_functions,percentage_bloated_files
0,cryptography,inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
1,aiohttp,inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
2,cryptography,inactive,56,16,1226,72,0.9445300462249615,0.7777777777777778
3,configobj,inactive,2,1,102,31,0.7669172932330827,0.6666666666666666
4,aiohttp,inactive,42,3,1227,10,0.9919159256265158,0.9333333333333333
5,cryptography,inactive,69,3,1284,7,0.994577846630519,0.9583333333333334
6,configobj,inactive,2,1,114,19,0.8571428571428571,0.6666666666666666
7,cryptography,inactive,54,18,1235,58,0.9551430781129157,0.75
8,cryptography,inactive,60,12,1243,49,0.9620743034055728,0.8333333333333334
9,cryptography,inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
10,configobj,inactive,2,1,113,20,0.849624060150376,0.6666666666666666
11,configobj,inactive,2,1,113,20,0.849624060150376,0.6666666666666666
12,configobj,inactive,2,1,104,29,0.7819548872180451,0.6666666666666666
13,aiohttp,active,27,18,1127,116,0.9066773934030571,0.6
14,cryptography,inactive,55,25,1293,83,0.9396802325581395,0.6875
15,requests,inactive,11,7,224,12,0.9491525423728814,0.6111111111111112
16,cryptography,inactive,67,13,1343,28,0.9795769511305616,0.8375
17,aiohttp,inactive,35,12,1118,93,0.9232039636663915,0.7446808510638298
18,cryptography,active,63,9,1251,41,0.968266253869969,0.875
19,cryptography,inactive,48,24,1157,146,0.8879508825786646,0.6666666666666666
20,cryptography,inactive,60,12,1257,37,0.9714064914992272,0.8333333333333334
21,aiohttp,inactive,34,11,1159,73,0.9407467532467533,0.7555555555555555
22,cryptography,inactive,62,10,1236,55,0.9573973663826492,0.8611111111111112
23,pydantic,inactive,11,7,281,46,0.8593272171253823,0.6111111111111112
24,starlette,active,24,8,407,23,0.9465116279069767,0.75
25,cryptography,inactive,64,8,1264,27,0.9790859798605732,0.8888888888888888
26,urllib3,inactive,34,3,391,4,0.9898734177215189,0.918918918918919
27,Flask-Cors,inactive,3,2,13,14,0.48148148148148145,0.6
28,PyYAML,inactive,22,9,555,17,0.9702797202797203,0.7096774193548387
29,requests,inactive,11,7,218,14,0.9396551724137931,0.6111111111111112
30,cryptography,inactive,52,20,1226,72,0.9445300462249615,0.7222222222222222
31,cryptography,inactive,69,3,1281,13,0.9899536321483772,0.9583333333333334
32,cryptography,inactive,65,7,1278,13,0.9899302865995352,0.9027777777777778
33,aiohttp,active,29,16,1121,120,0.9033037872683319,0.6444444444444445
34,OWSLib,inactive,38,23,845,144,0.8543983822042467,0.6229508196721312
35,Werkzeug,inactive,46,6,1330,17,0.9873793615441723,0.8846153846153846
36,aiohttp,active,29,16,1143,90,0.927007299270073,0.6444444444444445
37,cryptography,inactive,71,1,1290,1,0.9992254066615027,0.9861111111111112
38,requests,inactive,11,7,222,12,0.9487179487179487,0.6111111111111112
39,configobj,inactive,2,1,103,30,0.7744360902255639,0.6666666666666666
40,cryptography,inactive,61,11,1267,26,0.979891724671307,0.8472222222222222
41,cryptography,inactive,59,13,1229,63,0.9512383900928792,0.8194444444444444
42,cryptography,inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
43,aiohttp,inactive,40,5,1217,16,0.9870235198702352,0.8888888888888888
44,aiohttp,active,28,19,1073,139,0.8853135313531353,0.5957446808510638
45,cryptography,inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
46,aiohttp,inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
47,aiohttp,inactive,34,11,1162,70,0.9431818181818182,0.7555555555555555
48,cryptography,inactive,62,10,1235,56,0.9566227730441518,0.8611111111111112
49,tornado,inactive,84,14,3356,111,0.9679838477069512,0.8571428571428571
50,cryptography,inactive,61,11,1254,39,0.9698375870069605,0.8472222222222222
51,pycrypto,inactive,98,4,488,9,0.9818913480885312,0.9607843137254902
52,cryptography,inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
53,cryptography,inactive,58,14,1229,63,0.9512383900928792,0.8055555555555556
54,scrapy,inactive,169,1,1526,1,0.9993451211525868,0.9941176470588236
55,PyPDF2,inactive,30,2,688,3,0.9956584659913169,0.9375
56,cryptography,inactive,53,15,1172,37,0.9693961952026469,0.7794117647058824
57,PyYAML,inactive,30,1,567,5,0.9912587412587412,0.967741935483871
58,cryptography,inactive,63,9,1259,34,0.9737045630317092,0.875
59,Django,active,689,168,7425,844,0.8979320353126133,0.8039673278879813
60,cryptography,inactive,48,24,1157,143,0.89,0.6666666666666666
61,aiohttp,inactive,40,5,1215,17,0.9862012987012987,0.8888888888888888
62,Werkzeug,inactive,26,17,1102,82,0.9307432432432432,0.6046511627906976
63,cryptography,inactive,62,10,1236,55,0.9573973663826492,0.8611111111111112
64,cryptography,inactive,63,9,1267,24,0.981409759876065,0.875
65,Django,inactive,703,154,7495,766,0.9072751482871323,0.8203033838973163
66,cryptography,inactive,62,10,1259,33,0.9744582043343654,0.8611111111111112
67,cryptography,inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
68,cryptography,inactive,57,15,1213,79,0.9388544891640866,0.7916666666666666
69,cryptography,inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
70,aiohttp,active,36,9,1207,29,0.9765372168284789,0.8
71,aiohttp,inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
72,aiohttp,active,27,18,1134,101,0.9182186234817814,0.6
73,Werkzeug,inactive,41,6,1140,11,0.9904430929626412,0.8723404255319149
74,aiohttp,inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
75,cryptography,inactive,65,7,1267,24,0.981409759876065,0.9027777777777778
76,cryptography,inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
77,cryptography,inactive,59,13,1246,45,0.965143299767622,0.8194444444444444
78,cryptography,inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
79,PyYAML,inactive,22,9,555,17,0.9702797202797203,0.7096774193548387
80,cryptography,inactive,57,15,1227,66,0.9489559164733179,0.7916666666666666
81,Werkzeug,active,25,18,1080,103,0.9129332206255283,0.5813953488372093
82,cryptography,inactive,79,2,1342,10,0.992603550295858,0.9753086419753086
83,sentry-sdk,inactive,48,2,574,2,0.9965277777777778,0.96
84,Django,active,716,121,7395,450,0.9426386233269598,0.8554360812425329
85,GitPython,inactive,30,7,601,40,0.9375975039001561,0.8108108108108109
86,Werkzeug,inactive,29,18,1051,100,0.9131190269331017,0.6170212765957447
87,cryptography,inactive,58,14,1238,53,0.9589465530596437,0.8055555555555556
88,cryptography,inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
89,requests,active,7,11,150,82,0.646551724137931,0.3888888888888889
90,cryptography,inactive,69,3,1289,3,0.9976780185758514,0.9583333333333334
