project,package_name,dependency_type,activation_status
mozillasecurity/grizzly,certifi,Transitive,Bloated
mozillasecurity/grizzly,cryptography,Direct,Inactive
mozillasecurity/funfuzz,certifi,Transitive,Bloated
buckket/twtxt,aiohttp,Direct,Inactive
foremast/foremast,certifi,Transitive,Bloated
foremast/foremast,cryptography,Direct,Bloated
onecodex/onecodex,certifi,Transitive,Bloated
certbot/certbot,certifi,Direct,Bloated
certbot/certbot,cryptography,Direct,Inactive
certbot/certbot,configobj,Direct,Inactive
slaclab/pydm,certifi,Transitive,Bloated
dropbox/dropbox-sdk-python,cryptography,Transitive,Bloated
dropbox/dropbox-sdk-python,certifi,Transitive,Bloated
python-amazon-mws/python-amazon-mws,certifi,Transitive,Bloated
opendatacube/datacube-core,certifi,Transitive,Bloated
opendatacube/eo-datasets,certifi,Transitive,Bloated
opendatacube/datacube-explorer,certifi,Transitive,Bloated
pydanny/cached-property,py,Transitive,Bloated
pydanny/cookiecutter-django,cryptography,Transitive,Bloated
pydanny/cookiecutter-django,certifi,Transitive,Bloated
cedadev/cf-checker,certifi,Transitive,Bloated
cedadev/cis,certifi,Transitive,Bloated
dbt-labs/dbt,certifi,Transitive,Bloated
python-visualization/folium,certifi,Transitive,Bloated
instaloader/instaloader,certifi,Transitive,Bloated
googleapis/google-api-python-client,certifi,Transitive,Bloated
opentok/opentok-python-sdk,certifi,Transitive,Bloated
newrelic/newrelic-python-agent,certifi,Transitive,Bloated
aamalev/aiohttp_apiset,aiohttp,Direct,Inactive
anaconda-platform/anaconda-client,certifi,Transitive,Bloated
syncplay/syncplay,cryptography,Transitive,Inactive
syncplay/syncplay,certifi,Direct,Undefined
aschn/drf-tracking,certifi,Transitive,Bloated
pygithub/pygithub,cryptography,Transitive,Bloated
pygithub/pygithub,certifi,Transitive,Bloated
django-es/django-elasticsearch-dsl,certifi,Transitive,Bloated
sabnzbd/sabnzbd,configobj,Direct,Inactive
sabnzbd/sabnzbd,cryptography,Direct,Inactive
ctpug/wafer,certifi,Transitive,Bloated
