product,NBD,NBFD,NBMD,NBD-LOC,NBFD-LOC,NBMD-LOC,PBD,PBFD,PBMD,PBD-LOC,PBFD-LOC,PBMD-LOC
mozillasecurity/grizzly,6,255,4618,25649,72371,66834,30.0,75.0,88.84186225471336,22.843173053801554,64.4541025800878,84.49304677623262
mozillasecurity/ffpuppet,0,2,457,0,165,5750,0.0,15.384615384615385,81.02836879432624,0.0,1.5736766809728182,81.94385064842525
mozillasecurity/funfuzz,3,444,5960,16187,139125,110220,42.857142857142854,96.73202614379085,99.34989164860811,10.773449407317187,92.59629015833715,98.97451554390186
buckket/twtxt,4,106,2585,4982,39214,41496,30.76923076923077,77.94117647058823,93.82940108892922,7.7323027735096455,60.86200741878909,90.78101071975497
simetenn/uncertainpy,13,1652,27614,53380,773031,590072,44.827586206896555,91.3716814159292,97.46232308615396,5.919200364599678,85.71984595441839,95.49187689847862
foremast/foremast,28,1384,18913,227662,367934,230895,59.57446808510638,94.79452054794521,97.70625613473162,55.90858635966248,90.35618510623668,96.37289479725358
onecodex/onecodex,10,577,6441,22524,160496,94015,45.45454545454545,91.44215530903328,95.50711743772243,11.669438443245932,83.15122502163021,93.70110131060946
certbot/certbot,8,251,5524,41860,91394,77488,42.10526315789473,81.75895765472313,94.443494614464,33.777949922131576,73.74825502110113,92.66904255064699
ejeschke/ginga,1,776,11840,2840,221935,257019,14.285714285714285,84.9015317286652,92.82634261074088,0.7058846922442162,55.16215463845779,88.21839474984897
slaclab/pydm,6,1100,16389,36777,455087,366629,42.857142857142854,92.5925925925926,95.70777855641205,6.93054380374295,85.76013236571683,94.88647392381213
dropbox/dropbox-sdk-python,47,1374,19054,453735,481526,255479,92.15686274509804,99.06272530641672,99.7434957860022,92.77961582346038,98.4623123387166,99.60389091405291
dropbox/stone,0,5,220,0,4617,3931,0.0,71.42857142857143,88.70967741935483,0.0,68.7769998510353,85.10500108248539
dropbox/pyhive,0,241,2186,0,45537,29009,0.0,98.77049180327869,98.60171402796571,0.0,93.08843370538452,96.76117411607738
pysb/pysb,1,1711,25323,47859,888761,592495,20.0,94.5303867403315,98.06374162568254,4.81391215482895,89.39629705254877,96.76120765538676
uqfoundation/pathos,1,40,884,1534,10419,9946,25.0,72.72727272727273,88.93360160965796,8.360128617363344,56.7823859610878,82.00181383461126
python-amazon-mws/python-amazon-mws,3,63,866,16103,28095,21848,60.0,86.3013698630137,98.1859410430839,49.22357400501314,85.88066271321146,98.47207824401677
opendatacube/datacube-core,22,1395,36089,46203,516889,613408,40.74074074074074,77.75919732441471,92.80956667095282,4.820218564982656,53.92545838658356,87.48798375203599
opendatacube/eo-datasets,41,2435,52028,370524,1100349,935039,60.29411764705882,90.35250463821892,96.97489329183054,27.301483910851875,81.07750245550072,94.69794640623623
