product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
mozillasecurity/grizzly,185,46882,1816,35022,5198,79100,340,112283,14,86634,85,39912,586,12266,20,6,25649,255,72371,4618,66834,0,0,138,20385,1783,22632,8,42239,55,21854,346,7982,6,25649,117,51986,2835,44202,6,44395,30,18058,240,4284
mozillasecurity/funfuzz,38,6226,191,4919,5999,111362,459,150249,4,134062,15,11124,39,1142,7,3,16187,444,139125,5960,110220,0,0,391,112925,5316,91953,3,122886,13,9961,36,1065,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
buckket/twtxt,13,1551,102,942,2755,45710,136,64431,9,59449,30,25217,175,4214,13,4,4982,106,39214,2585,41496,0,0,63,21223,1921,24813,4,39419,21,18196,136,3406,4,4982,43,17991,664,16683,5,20030,9,7021,39,808
simetenn/uncertainpy,63,25753,1124,19769,28333,617929,1808,901811,16,848431,156,128780,724,27857,29,13,53380,1652,773031,27614,590072,0,0,315,115288,2951,47288,8,131991,54,16703,161,3906,13,53380,1337,657743,24663,542784,8,716440,102,112077,563,23951
foremast/foremast,159,13854,372,8712,19357,239585,1460,407204,19,179542,76,39270,444,8690,47,28,227662,1384,367934,18913,230895,4,29789,485,93283,5622,62912,10,85002,41,21508,281,5960,24,197873,899,274651,13291,167983,9,94540,35,17762,163,2730
onecodex/onecodex,49,9990,387,7775,6744,100335,631,193017,12,170493,54,32521,305,6320,22,10,22524,577,160496,6441,94015,2,5223,361,83596,2352,33389,6,96619,30,18246,158,3460,8,17301,216,76900,4089,60626,6,73874,24,14275,147,2860
ejeschke/ginga,277,118440,6636,80190,12755,291344,914,402332,6,399492,138,180397,922,34325,7,1,2840,776,221935,11840,257019,1,2840,748,214758,11059,230585,3,367602,129,155684,901,33694,0,0,28,7177,781,26434,3,31890,9,24713,21,631
slaclab/pydm,113,32462,1563,21650,17124,386387,1188,530651,8,493874,88,75564,735,19758,14,6,36777,1100,455087,16389,366629,1,5435,967,398014,14208,327576,7,466336,84,73757,699,19229,5,31342,133,57073,2181,39053,1,27538,4,1807,36,529
dropbox/dropbox-sdk-python,39,156142,9634,73732,19103,256495,1387,489046,4,35311,13,7520,56,1016,51,47,453735,1374,481526,19054,255479,0,0,49,17778,1164,16821,3,24135,11,6357,53,939,47,453735,1325,463748,17890,238658,1,11176,2,1163,3,77
dropbox/stone,53,18390,947,13890,248,4619,7,6713,2,6713,2,2096,29,688,2,0,0,5,4617,220,3931,0,0,5,4617,220,3933,2,6713,2,2096,29,688,0,0,0,0,0,0,0,0,0,0,0,0
pysb/pysb,70,25018,890,17798,25823,612327,1810,994181,4,946322,99,105420,505,19832,5,1,47859,1711,888761,25323,592495,0,0,1658,840902,23963,561273,4,946322,99,105420,505,19832,1,47859,53,47859,1360,31222,0,0,0,0,0,0
uqfoundation/pathos,49,6203,268,3459,994,12129,55,18349,3,16815,15,7930,110,2183,4,1,1534,40,10419,884,9946,1,1534,40,10419,884,9946,3,16815,15,7930,110,2183,0,0,0,0,0,0,0,0,0,0,0,0
python-amazon-mws/python-amazon-mws,35,5890,240,3839,882,22187,73,32714,2,16611,10,4619,17,339,5,3,16103,63,28095,866,21848,0,0,10,1979,223,3664,1,5435,8,3456,14,262,3,16103,53,26116,643,18184,1,11176,2,1163,3,77
opendatacube/datacube-core,166,42368,2582,31089,38885,701134,1794,958525,32,912322,399,441636,2855,87726,54,22,46203,1395,516889,36089,613408,2,6446,850,320692,25062,433864,18,663142,312,348896,2318,66096,20,39757,545,196197,11027,179544,14,249180,87,92740,537,21630
opendatacube/datacube-explorer,56,18190,632,12448,59606,1084334,3061,1511618,33,789911,352,361499,2210,61887,86,53,721707,2709,1150119,57459,1022447,4,14050,328,79523,5523,72412,10,97205,68,31732,271,5413,49,707657,2381,1070596,51936,950035,23,692706,284,329767,1939,56474
cedadev/cf-checker,3,3580,91,3298,4060,103943,262,142143,2,136793,12,30196,50,2237,6,4,5350,250,111947,4010,101706,1,987,4,1180,77,2301,1,2808,1,2615,4,443,3,4363,246,110767,3933,99405,1,133985,11,27581,46,1794
cedadev/cis,69,17714,949,14258,31256,657514,1851,966504,15,787308,163,211050,1164,41109,37,22,179196,1688,755454,30100,616405,1,987,675,403672,12071,302983,4,476495,43,73810,252,6578,21,178209,1013,351782,18029,313422,11,310813,120,137240,912,34531
dicompyler/dicompyler-core,8,3035,109,2615,14718,279146,915,550642,5,419700,65,84686,339,13821,14,9,130942,850,465956,14380,265325,1,998,404,303638,7455,160835,3,381068,60,78428,310,12766,8,129944,446,162318,6925,104490,2,38632,5,6258,29,1055
scikit-build/scikit-build,35,3901,129,2896,1923,27156,116,39692,5,39692,17,7516,114,1941,5,0,0,99,32176,1810,25215,0,0,99,32176,1810,25241,5,39692,17,7516,114,1941,0,0,0,0,0,0,0,0,0,0,0,0
h2non/pook,35,4128,264,3006,786,10890,60,16421,5,9324,8,6267,65,1226,9,4,7097,52,10154,721,9664,0,0,21,3017,337,3672,3,7295,5,4278,42,959,4,7097,31,7137,384,5992,2,2029,3,1989,23,267
python-visualization/folium,41,8083,165,3170,5534,131916,344,182924,5,166454,31,39095,117,3943,9,4,16470,313,143829,5418,127973,0,0,237,107400,3997,99831,3,141045,25,33645,95,3447,4,16470,76,36429,1421,28142,2,25409,6,5450,22,496
python-visualization/branca,6,1862,78,1271,796,10375,27,14600,1,14233,4,4287,21,455,2,1,367,23,10313,776,9920,0,0,21,9946,742,9715,1,14233,4,4287,21,455,1,367,2,367,34,205,0,0,0,0,0,0
rwth-ebc/teaser,85,20507,310,12883,12188,265071,643,352183,4,306290,127,157285,1090,36797,14,10,45893,516,194898,11129,228274,1,29250,228,83931,6665,127695,2,169669,94,114988,925,29889,9,16643,288,110967,4464,100579,2,136621,33,42297,165,6908
instaloader/instaloader,11,5395,350,4248,882,22187,73,32714,3,27987,20,7737,120,2630,5,2,4727,53,24977,762,19557,0,0,7,580,154,2081,1,5435,11,4855,82,1843,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
bccp/nbodykit,95,21895,717,17406,18333,460594,1294,630275,6,630275,119,174015,862,33818,6,0,0,1175,456260,17476,426776,0,0,1171,455795,17215,407342,5,608371,118,152576,859,33658,0,0,4,465,261,19434,1,21904,1,21439,3,160
lra/mackup,9,1489,50,1163,104,817,20,2068,1,1070,1,579,28,357,2,1,998,19,1489,76,460,1,998,19,1489,76,460,1,1070,1,579,28,357,0,0,0,0,0,0,0,0,0,0,0,0
juliotrigo/sqlalchemy-filters,8,846,37,606,10418,148543,256,230641,1,226499,6,10653,15,327,4,3,4142,250,219988,10404,148216,1,998,247,216844,10242,146552,1,226499,6,10653,15,327,2,3144,3,3144,162,1664,0,0,0,0,0,0
googleapis/google-api-python-client,73,12793,335,8223,4307,69972,509,137257,4,14620,10,4212,46,1036,18,14,122637,499,133045,4261,68936,2,26329,107,26924,1070,18816,3,3707,9,3112,45,1035,12,96308,392,106121,3191,50120,1,10913,1,1100,1,1
