project,direct_dependencies_bloated_count,direct_dependencies_bloated_loc,direct_dependency_files_bloated_count,direct_dependency_files_bloated_loc,direct_dependency_functions_bloated_count,direct_dependency_functions_bloated_loc,direct_dependencies_used_count,direct_dependencies_used_loc,direct_dependency_files_used_count,direct_dependency_files_used_loc,direct_dependency_functions_used_count,direct_dependency_functions_used_loc,transitive_dependencies_bloated_count,transitive_dependencies_bloated_loc,transitive_dependency_files_bloated_count,transitive_dependency_files_bloated_loc,transitive_dependency_functions_bloated_count,transitive_dependency_functions_bloated_loc,transitive_dependencies_used_count,transitive_dependencies_used_loc,transitive_dependency_files_used_count,transitive_dependency_files_used_loc,transitive_dependency_functions_used_count,transitive_dependency_functions_used_loc
mozillasecurity/grizzly,0,0,138,20385,1783,22632,8,42239,55,21854,346,7982,6,25649,117,51986,2835,44202,6,44395,30,18058,240,4284
mozillasecurity/funfuzz,0,0,391,112925,5316,91953,3,122886,13,9961,36,1065,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
buckket/twtxt,0,0,63,21223,1921,24813,4,39419,21,18196,136,3406,4,4982,43,17991,664,16683,5,20030,9,7021,39,808
simetenn/uncertainpy,0,0,315,115288,2951,47288,8,131991,54,16703,161,3906,13,53380,1337,657743,24663,542784,8,716440,102,112077,563,23951
foremast/foremast,4,29789,485,93283,5622,62912,10,85002,41,21508,281,5960,24,197873,899,274651,13291,167983,9,94540,35,17762,163,2730
onecodex/onecodex,2,5223,361,83596,2352,33389,6,96619,30,18246,158,3460,8,17301,216,76900,4089,60626,6,73874,24,14275,147,2860
ejeschke/ginga,1,2840,748,214758,11059,230585,3,367602,129,155684,901,33694,0,0,28,7177,781,26434,3,31890,9,24713,21,631
slaclab/pydm,1,5435,967,398014,14208,327576,7,466336,84,73757,699,19229,5,31342,133,57073,2181,39053,1,27538,4,1807,36,529
dropbox/dropbox-sdk-python,0,0,49,17778,1164,16821,3,24135,11,6357,53,939,47,453735,1325,463748,17890,238658,1,11176,2,1163,3,77
dropbox/stone,0,0,5,4617,220,3933,2,6713,2,2096,29,688,0,0,0,0,0,0,0,0,0,0,0,0
pysb/pysb,0,0,1658,840902,23963,561273,4,946322,99,105420,505,19832,1,47859,53,47859,1360,31222,0,0,0,0,0,0
uqfoundation/pathos,1,1534,40,10419,884,9946,3,16815,15,7930,110,2183,0,0,0,0,0,0,0,0,0,0,0,0
python-amazon-mws/python-amazon-mws,0,0,10,1979,223,3664,1,5435,8,3456,14,262,3,16103,53,26116,643,18184,1,11176,2,1163,3,77
opendatacube/datacube-core,2,6446,850,320692,25062,433864,18,663142,312,348896,2318,66096,20,39757,545,196197,11027,179544,14,249180,87,92740,537,21630
opendatacube/datacube-explorer,4,14050,328,79523,5523,72412,10,97205,68,31732,271,5413,49,707657,2381,1070596,51936,950035,23,692706,284,329767,1939,56474
cedadev/cf-checker,1,987,4,1180,77,2301,1,2808,1,2615,4,443,3,4363,246,110767,3933,99405,1,133985,11,27581,46,1794
cedadev/cis,1,987,675,403672,12071,302983,4,476495,43,73810,252,6578,21,178209,1013,351782,18029,313422,11,310813,120,137240,912,34531
dicompyler/dicompyler-core,1,998,404,303638,7455,160835,3,381068,60,78428,310,12766,8,129944,446,162318,6925,104490,2,38632,5,6258,29,1055
scikit-build/scikit-build,0,0,99,32176,1810,25241,5,39692,17,7516,114,1941,0,0,0,0,0,0,0,0,0,0,0,0
h2non/pook,0,0,21,3017,337,3672,3,7295,5,4278,42,959,4,7097,31,7137,384,5992,2,2029,3,1989,23,267
python-visualization/folium,0,0,237,107400,3997,99831,3,141045,25,33645,95,3447,4,16470,76,36429,1421,28142,2,25409,6,5450,22,496
python-visualization/branca,0,0,21,9946,742,9715,1,14233,4,4287,21,455,1,367,2,367,34,205,0,0,0,0,0,0
rwth-ebc/teaser,1,29250,228,83931,6665,127695,2,169669,94,114988,925,29889,9,16643,288,110967,4464,100579,2,136621,33,42297,165,6908
instaloader/instaloader,0,0,7,580,154,2081,1,5435,11,4855,82,1843,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
bccp/nbodykit,0,0,1171,455795,17215,407342,5,608371,118,152576,859,33658,0,0,4,465,261,19434,1,21904,1,21439,3,160
lra/mackup,1,998,19,1489,76,460,1,1070,1,579,28,357,0,0,0,0,0,0,0,0,0,0,0,0
juliotrigo/sqlalchemy-filters,1,998,247,216844,10242,146552,1,226499,6,10653,15,327,2,3144,3,3144,162,1664,0,0,0,0,0,0
googleapis/google-api-python-client,2,26329,107,26924,1070,18816,3,3707,9,3112,45,1035,12,96308,392,106121,3191,50120,1,10913,1,1100,1,1
googleapis/google-auth-library-python,0,0,168,30457,675,9091,5,40661,21,10204,83,1498,0,0,24,5245,569,5591,1,11497,9,6252,64,1057
opentok/opentok-python-sdk,1,2636,22,5562,461,6709,3,9475,18,6549,52,998,3,16187,111,39971,2165,35330,4,41143,20,17359,104,1847
rasbt/mlxtend,0,0,1033,564543,18711,469312,5,744181,134,179638,1241,41661,8,125141,694,245499,11138,190558,8,197445,72,77087,488,22781
aamalev/aiohttp_apiset,0,0,69,24251,1797,20705,3,30752,13,6501,29,643,7,16408,55,19935,705,17721,4,9244,6,5717,8,298
totalopenstation/totalopenstation,0,0,27,7256,509,6213,2,10113,5,2857,15,400,0,0,0,0,0,0,0,0,0,0,0,0
anaconda-platform/anaconda-client,1,2636,52,13264,972,15012,4,21295,22,10667,71,1641,3,16103,51,25862,701,18537,2,12174,5,2415,6,89
syncplay/syncplay,0,0,336,90781,9129,100004,3,166470,104,75689,511,7602,10,79288,420,137258,6399,80714,7,67397,12,9427,91,1482
pelican-plugins/image-process,2,14562,145,43009,2082,35816,2,37962,8,9515,40,1352,14,275378,842,275378,5875,78523,0,0,0,0,0,0
aschn/drf-tracking,1,15925,923,150076,9415,113144,1,149210,18,15059,46,857,35,165233,648,193165,7877,108707,3,32412,9,4480,58,929
pygithub/pygithub,0,0,46,8150,490,8839,4,14628,17,6478,47,1005,5,41486,154,61290,3265,43465,3,24467,11,4663,55,1124
django-es/django-elasticsearch-dsl,0,0,13,2662,374,3256,1,5996,7,3334,26,380,3,19392,153,47629,1785,35319,2,33365,7,5128,20,491
ctpug/wafer,5,34442,1095,157773,11912,147905,14,206897,180,83566,882,16552,14,84917,391,139344,7138,99633,8,65156,19,10729,78,1295
gosecure/malboxes,0,0,57,18609,1192,16801,4,23977,10,5368,33,637,6,30091,148,59434,3509,44540,1,34442,8,5099,61,759
pynbody/pynbody,1,1282,732,419094,14599,300473,4,465914,37,48102,259,7870,8,129204,627,228138,10326,183191,4,174355,63,75421,472,21133
bear/python-twitter,0,0,22,1688,201,2968,2,6786,11,5098,87,1996,2,4727,321,62557,2748,47911,4,74719,27,16889,148,2644
aruhier/virt-backup,1,2931,62,17516,1102,15916,5,27804,14,13219,47,1409,1,998,15,4442,348,5531,1,7616,4,4172,17,732
pydicom/pynetdicom,0,0,49,105798,610,15696,1,122091,19,16293,126,4594,0,0,0,0,0,0,0,0,0,0,0,0
asdf-format/asdf,2,82,265,106183,4705,105563,7,151651,48,45550,186,5045,1,414,35,6089,719,8122,3,11349,5,5674,21,361
kipe/enocean,0,0,31,9454,695,9884,2,15456,7,6002,22,740,1,3915,7,3915,177,2740,0,0,0,0,0,0
a10networks/acos-client,0,0,14,2321,314,4297,3,6942,10,4621,27,412,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
coala/coala,1,344,369,133924,2495,34352,6,151490,40,17910,131,2531,4,19700,90,31704,1142,23045,6,17396,17,5392,60,1231
colinduquesnoy/qdarkstylesheet,0,0,65,2555,96,376,1,2840,1,285,3,90,1,4063,14,4063,191,2802,0,0,0,0,0,0
lavie/runlike,0,0,11,7546,470,6811,1,10130,5,2584,17,424,0,0,0,0,0,0,0,0,0,0,0,0
cogu/autosar,0,0,0,0,29,192,1,437,1,437,26,163,0,0,0,0,0,0,0,0,0,0,0,0
globus/globus-cli,1,3072,93,21038,2375,24746,5,38935,36,20969,177,3240,6,37416,235,56638,2423,42206,2,31666,37,12444,120,3135
globus/globus-sdk-python,0,0,84,16017,1687,15807,4,28339,19,12322,108,2226,4,23847,79,43517,1805,31304,2,22552,9,2882,38,787
open-craft/problem-builder,0,0,825,119611,8498,99500,3,153681,66,34070,333,6300,11,48858,418,136745,7351,98325,9,96912,18,9025,98,1442
craffel/mir_eval,0,0,644,323772,9990,271439,2,390953,52,67181,343,16271,2,41302,226,41302,1914,23888,0,0,0,0,0,0
francescoceruti/linux-show-player,1,540,30,4294,567,7857,3,11743,12,7989,66,1273,2,19120,33,19120,1197,13828,0,0,0,0,0,0
becksteinlab/gromacswrapper,0,0,348,184924,6739,137994,4,261455,54,76531,384,16775,8,129944,884,382016,13425,291311,3,295600,25,43528,83,3293
storaged-project/blivet,0,0,15,1464,219,2488,2,5681,10,4217,38,596,0,0,0,0,0,0,0,0,0,0,0,0
junzis/pymodes,0,0,295,114779,4255,101467,2,146111,20,31332,89,3871,0,0,0,0,0,0,0,0,0,0,0,0
pexpect/pexpect,0,0,2,75,32,520,1,995,2,920,8,329,0,0,0,0,0,0,0,0,0,0,0,0
micropyramid/django-mfa,1,324,790,108032,8260,97276,2,150644,100,42936,376,6404,14,165460,203,166432,4586,57583,1,1737,2,765,6,86
micropyramid/forex-python,0,0,17,3133,279,5048,2,7479,10,4346,20,462,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
sethblack/python-seo-analyzer,1,5435,73,24609,1582,22175,3,28289,8,9115,51,1589,3,8969,46,25481,775,19113,3,22676,18,6164,83,2211
python-beaver/python-beaver,1,116199,376,116199,5033,88271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ics-py/ics-py,0,0,29,4393,468,9258,3,13116,10,8723,32,1009,2,1696,23,3303,435,2621,1,5430,18,3823,80,1147
axiros/terminal_markdown_viewer,0,0,314,116995,1203,17081,2,124156,21,7161,60,846,1,413,9,939,177,1079,1,1576,2,1050,7,59
mdanalysis/griddataformats,0,0,683,361987,10327,285052,3,394102,28,32115,111,4930,0,0,0,0,0,0,0,0,0,0,0,0
pytroll/satpy,0,0,447,143931,10895,228761,12,372263,214,228332,1751,56116,17,56635,989,412804,17152,378679,14,508090,138,151921,1244,40372
pytroll/pyresample,0,0,125,38105,2380,38636,6,57887,29,19782,128,3545,3,1536,211,85487,3813,88533,2,135568,42,51617,215,11035
renanivo/pytest-testdox,0,0,57,26994,1614,20734,1,29250,2,2256,14,178,5,7635,34,7635,369,5093,0,0,0,0,0,0
docnow/twarc,0,0,47,8307,914,14737,6,23929,27,15622,140,3057,2,4727,130,37395,1360,30847,7,46154,30,13486,165,4195
gns3/gns3-gui,0,0,159,46132,3011,40152,5,62347,20,16215,198,2718,4,21075,70,21075,979,14343,0,0,0,0,0,0
snowflakedb/snowflake-connector-python,1,576,364,105938,6464,94449,12,156976,83,51614,370,7871,0,0,64,31886,1283,23843,5,38718,15,6832,58,1797
snowflakedb/snowflake-ingest-python,1,37605,137,39561,1835,27931,2,4297,4,2341,48,795,15,158385,502,185041,8165,127091,5,38122,26,11466,67,1033
scitools/iris-grib,0,0,162,100365,3547,77238,3,115933,12,15568,67,1738,27,349277,1689,768473,29261,582841,11,547271,113,128075,824,28018
scitools/cf-units,1,176,73,17896,1443,15355,2,25920,11,8200,82,1336,1,367,237,131762,3810,98241,1,133985,3,2590,4,197
scitools/cartopy,1,2671,367,180380,7176,149859,4,279068,91,101359,541,21430,9,127003,449,162876,6984,104377,3,42695,6,6822,34,1206
tencent/qtaf,1,998,5,2113,153,2314,1,5715,2,4600,95,2305,0,0,0,0,0,0,0,0,0,0,0,0
altair-viz/altair,0,0,409,159925,9494,210375,6,320799,119,160874,1030,35570,8,16105,77,18682,743,9244,1,2636,1,59,1,21
dschep/ntfy,1,14545,40,16665,1034,15195,2,6043,8,3923,22,574,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
akretion/roulier,1,660,274,72672,1816,23364,6,83545,17,11533,88,1529,4,16470,210,78107,3177,57455,3,69730,9,8093,52,994
asyncee/django-easy-select2,0,0,795,114552,8241,97837,1,149210,74,34658,284,5082,2,6933,30,7905,439,4633,1,1737,2,765,6,86
irods/python-irodsclient,1,1050,13,1196,220,1826,2,3700,2,3554,42,1096,0,0,3,5983,0,0,1,6398,2,415,6,283
sec-edgar/sec-edgar,2,7225,143,37792,2592,34185,5,47424,25,16857,126,3243,5,49861,94,62870,1029,21898,4,19032,8,6023,47,953
mandiant/flare-floss,0,0,863,246114,11716,185792,6,275392,50,29278,309,7326,18,190629,653,204410,4892,66690,4,41725,39,27944,191,5254
timotheus/ebaysdk-python,0,0,35,7690,491,6771,2,12545,11,4855,77,1644,3,7191,59,26861,746,22177,2,22552,9,2882,38,787
praw-dev/praw,0,0,14,1902,179,2568,2,4251,8,2349,23,363,3,16103,65,28312,879,21946,3,16939,10,4730,26,478
fdemmer/django-weasyprint,0,0,887,155815,9044,112951,2,175960,41,20145,322,11821,8,151467,479,174616,8108,111384,8,39382,28,16233,313,6240
mitgcm/xmitgcm,0,0,127,45126,4699,104344,3,154540,88,109414,811,21923,10,27997,498,173334,10846,216033,6,323711,152,178374,1384,49815
kubernetes-client/python,1,16090,112,25200,1500,24660,7,24553,35,15443,201,4135,5,44111,348,98629,3189,52426,4,61953,22,7435,96,2453
corydolphin/flask-cors,0,0,19,4962,348,6339,1,8791,3,3829,5,101,7,28731,116,49760,2620,34999,1,22870,2,1841,11,142
geex-arts/django-jet,0,0,777,105748,8137,96191,1,149210,92,43462,402,6910,2,6933,30,7905,439,4451,1,1737,2,765,6,86
ewels/multiqc,2,103864,763,272035,10028,206946,10,238910,104,70739,393,9579,14,153795,1099,408015,12809,238091,8,310626,47,56406,238,9613
spatialaudio/nbsphinx,0,0,331,101321,7192,78912,4,130599,60,29278,261,4416,38,287691,875,302682,8675,141937,7,25388,18,10397,73,1715
spatialaudio/python-sounddevice,0,0,9,3594,433,4101,1,8157,7,4563,124,2216,0,0,15,8351,729,9627,2,13848,4,5497,9,192
modlinltd/django-advanced-filters,0,0,5,273,42,688,1,2044,4,1771,21,898,0,0,0,0,0,0,0,0,0,0,0,0
ab-ce/abce,3,318687,512,319282,10317,242930,1,1471,3,876,7,100,18,236369,863,444014,20691,281322,1,226499,7,18854,25,1129
django-wiki/django-wiki,3,34329,980,148229,10637,132768,5,179178,145,65278,697,13230,8,13421,65,15161,881,8217,2,2847,3,1107,12,186
chyroc/wechatsogou,3,10146,395,90288,4792,73578,5,106735,34,26593,122,1858,6,27331,72,37344,1157,26346,1,11176,2,1163,3,77
keeper-security/commander,3,23898,373,99547,6465,80413,11,112953,78,37304,434,8075,14,54260,580,154261,8768,115303,9,137061,59,37060,248,5072
saulpw/visidata,1,7616,25,8149,438,6757,1,1583,2,1050,7,59,2,1412,3,1412,103,585,0,0,0,0,0,0
lukasschwab/arxiv.py,0,0,25,3699,274,2289,1,5823,7,2124,13,713,37,485226,1324,485226,15145,228683,0,0,0,0,0,0
jazzband/pip-tools,2,33353,542,194247,7771,116749,3,189274,55,28380,268,5078,1,4063,20,4486,237,3303,2,1551,3,1128,37,627
jazzband/django-auditlog,0,0,783,106513,8362,100117,2,156826,104,50313,475,8818,2,6933,30,7905,499,4878,2,2735,3,1763,7,88
jazzband/django-silk,0,0,751,97321,8400,99684,3,157335,120,60014,550,10023,1,3072,25,6243,492,5954,4,9149,12,5978,83,1647
