project,package_name,status,bloated_files,used_files,bloated_functions,used_functions,percentage_bloated_functions,percentage_bloated_files
mozillasecurity/grizzly,cryptography,Inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
buckket/twtxt,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
certbot/certbot,cryptography,Inactive,56,16,1226,72,0.9445300462249615,0.7777777777777778
certbot/certbot,configobj,Inactive,2,1,102,31,0.7669172932330827,0.6666666666666666
aamalev/aiohttp_apiset,aiohttp,Inactive,42,3,1227,10,0.9919159256265158,0.9333333333333333
syncplay/syncplay,cryptography,Inactive,69,3,1284,7,0.994577846630519,0.9583333333333334
sabnzbd/sabnzbd,configobj,Inactive,2,1,114,19,0.8571428571428571,0.6666666666666666
sabnzbd/sabnzbd,cryptography,Inactive,54,18,1235,58,0.9551430781129157,0.75
globus/globus-cli,cryptography,Inactive,60,12,1243,49,0.9620743034055728,0.8333333333333334
globus/globus-sdk-python,cryptography,Inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
pytroll/satpy,configobj,Inactive,2,1,113,20,0.849624060150376,0.6666666666666666
pytroll/pyresample,configobj,Inactive,2,1,113,20,0.849624060150376,0.6666666666666666
docnow/twarc,configobj,Inactive,2,1,104,29,0.7819548872180451,0.6666666666666666
gns3/gns3-server,aiohttp,Active,27,18,1127,116,0.9066773934030571,0.6
snowflakedb/snowflake-ingest-python,requests,Inactive,11,7,224,12,0.9491525423728814,0.6111111111111112
sec-edgar/sec-edgar,aiohttp,Inactive,35,12,1118,93,0.9232039636663915,0.7446808510638298
oauthlib/oauthlib,cryptography,Active,63,9,1251,41,0.968266253869969,0.875
keeper-security/commander,cryptography,Inactive,48,24,1157,146,0.8879508825786646,0.6666666666666666
jazzband/django-oauth-toolkit,cryptography,Inactive,60,12,1257,37,0.9714064914992272,0.8333333333333334
nsacyber/walkoff,starlette,Active,24,8,407,23,0.9465116279069767,0.75
nsacyber/walkoff,aiohttp,Inactive,34,11,1159,73,0.9407467532467533,0.7555555555555555
nsacyber/walkoff,cryptography,Inactive,62,10,1236,55,0.9573973663826492,0.8611111111111112
nsacyber/walkoff,pydantic,Inactive,11,7,281,46,0.8593272171253823,0.6111111111111112
meejah/txtorcon,cryptography,Inactive,64,8,1264,27,0.9790859798605732,0.8888888888888888
bigchaindb/bigchaindb,urllib3,Inactive,34,3,391,4,0.9898734177215189,0.918918918918919
bigchaindb/bigchaindb,Flask-Cors,Inactive,3,2,13,14,0.48148148148148145,0.6
bigchaindb/bigchaindb,PyYAML,Inactive,22,9,555,17,0.9702797202797203,0.7096774193548387
bigchaindb/bigchaindb,requests,Inactive,11,7,218,14,0.9396551724137931,0.6111111111111112
moepman/acertmgr,cryptography,Inactive,52,20,1226,72,0.9445300462249615,0.7222222222222222
mozilla/mozilla-django-oidc,cryptography,Inactive,69,3,1281,13,0.9899536321483772,0.9583333333333334
hdfgroup/hsds,aiohttp,Active,29,16,1121,120,0.9033037872683319,0.6444444444444445
hdfgroup/hsds,cryptography,Inactive,65,7,1278,13,0.9899302865995352,0.9027777777777778
geopython/geohealthcheck,OWSLib,Inactive,38,23,845,144,0.8543983822042467,0.6229508196721312
geopython/geohealthcheck,Werkzeug,Inactive,46,6,1330,17,0.9873793615441723,0.8846153846153846
cog-creators/red-discordbot,aiohttp,Active,29,16,1143,90,0.927007299270073,0.6444444444444445
snok/django-auth-adfs,cryptography,Inactive,71,1,1290,1,0.9992254066615027,0.9861111111111112
goshippo/shippo-python-client,requests,Inactive,11,7,222,12,0.9487179487179487,0.6111111111111112
donnemartin/saws,configobj,Inactive,2,1,103,30,0.7744360902255639,0.6666666666666666
scrapy/scrapy,cryptography,Inactive,61,11,1267,26,0.979891724671307,0.8472222222222222
jrnl-org/jrnl,cryptography,Inactive,59,13,1229,63,0.9512383900928792,0.8194444444444444
archlinux/arch-security-tracker,cryptography,Inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
cmu-delphi/delphi-epidata,aiohttp,Inactive,40,5,1217,16,0.9870235198702352,0.8888888888888888
vijos/vj4,aiohttp,Active,28,19,1073,139,0.8853135313531353,0.5957446808510638
esgf/esgf-pyclient,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
home-assistant-ecosystem/home-assistant-cli,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
