product,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
mozillasecurity/grizzly,0,0,133,18502,1751,21983,8,42239,60,23737,378,8631,6,25649,117,51986,2835,44202,6,44395,30,18058,240,4284
mozillasecurity/ffpuppet,0,0,2,165,457,5750,2,10485,11,10320,107,1267,0,0,0,0,0,0,0,0,0,0,0,0
mozillasecurity/funfuzz,0,0,391,112925,5316,91953,3,122886,13,9961,36,1065,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
buckket/twtxt,0,0,63,21223,1921,24813,4,39419,21,18196,136,3406,6,6760,45,19515,665,16693,3,18252,7,5497,36,798
simetenn/uncertainpy,0,0,290,108094,2832,45307,8,131991,79,23897,280,5887,13,46265,1328,643170,24581,541458,8,723555,111,126650,646,25277
foremast/foremast,5,29925,486,93419,5641,63345,9,84866,40,21372,262,5527,26,199106,900,269769,13255,167445,7,93307,34,22644,199,3268
onecodex/onecodex,1,4647,358,83340,2344,33281,7,97195,33,18502,166,3570,9,18299,217,77898,4090,60626,5,72876,23,13277,146,2858
ejeschke/ginga,1,2840,709,194107,10953,228776,3,367602,168,176335,1004,34993,0,0,28,7177,780,26942,3,31890,9,24713,22,633
slaclab/pydm,2,6433,965,399615,14212,328606,6,465338,86,72156,695,18199,5,31342,133,57073,2153,38637,1,27538,4,1807,64,945
dropbox/dropbox-sdk-python,1,998,50,18776,1166,16844,2,23137,10,5359,51,916,47,453735,1325,463748,17890,238658,1,11176,2,1163,3,77
dropbox/stone,1,998,6,5615,223,3982,1,5715,1,1098,26,639,0,0,0,0,0,-2,0,0,0,0,0,0
dropbox/pyhive,1,40304,242,46307,2127,28656,1,7616,1,1613,29,961,1,998,1,998,61,363,0,0,0,0,0,0
pysb/pysb,0,0,1645,830838,23918,559733,4,946322,112,115484,552,21636,1,47859,53,47859,1360,30958,0,0,0,0,0,0
uqfoundation/pathos,1,1534,40,10419,882,9925,3,16815,15,7930,112,2204,0,0,0,0,0,0,0,0,0,0,0,0
python-amazon-mws/python-amazon-mws,0,0,10,1979,223,3664,1,5435,8,3456,14,262,3,16103,53,26116,643,18184,1,11176,2,1163,3,77
opendatacube/datacube-core,1,987,827,288504,24653,425188,19,668601,335,381084,2714,73300,20,39167,534,188631,10930,177235,14,249770,98,100306,634,25411
opendatacube/eo-datasets,1,76867,1030,463199,18640,377069,18,450960,118,64628,517,10955,43,643237,1485,762008,34097,582980,6,186093,62,67322,409,16387
opendatacube/datacube-explorer,5,14312,328,77741,5522,72197,9,96943,68,33514,271,5626,49,707067,2480,1207673,52853,983762,23,693296,185,192690,983,22749
gcovr/gcovr,0,0,326,120690,1910,26067,3,138264,29,17574,84,1789,0,0,1,63,33,119,1,367,1,304,2,93
cedadev/cf-checker,1,987,4,1180,77,2301,1,2808,1,2615,4,443,3,4363,246,116629,3930,99276,1,133985,11,21719,49,1923
cedadev/cis,1,987,674,401055,12049,302421,4,476495,44,76427,274,7140,21,175144,1000,347693,17903,307861,11,313878,133,141329,1039,40092
thiefmaster/maildump,1,921,368,84484,6508,72680,8,132036,73,48473,381,7557,13,86240,339,129882,7050,83931,3,51350,11,7708,27,648
dicompyler/dicompyler-core,1,998,415,309812,7491,163488,3,381068,49,72254,273,9923,9,137560,448,163990,6939,105198,1,31016,3,4586,15,537
scikit-build/scikit-build,0,0,99,32176,1810,25241,5,39692,17,7516,114,1941,0,0,0,0,0,-26,0,0,0,0,0,0
h2non/pook,0,0,21,3017,337,3672,3,7295,5,4278,42,959,5,8095,32,8135,386,5996,1,1031,2,991,21,263
python-visualization/folium,0,0,241,109705,3992,100074,3,141045,21,31340,100,3204,4,16470,77,37633,1420,28087,2,25409,5,4246,23,551
python-visualization/branca,0,0,21,9946,741,9711,1,14233,4,4287,23,517,1,367,2,367,34,147,0,0,0,0,0,0
rwth-ebc/teaser,1,29250,244,84371,6767,133381,2,169669,78,114548,808,22345,8,9027,301,120531,4513,105074,3,144237,20,32733,116,4271
instaloader/instaloader,0,0,7,580,153,2068,1,5435,11,4855,83,1856,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
bccp/nbodykit,1,998,1150,434504,17108,404543,4,607373,139,173867,967,36250,0,0,4,465,261,19641,1,21904,1,21439,3,160
lra/mackup,1,998,19,1489,76,460,1,1070,1,579,28,357,0,0,0,0,0,0,0,0,0,0,0,0
juliotrigo/sqlalchemy-filters,1,998,247,216844,10244,146592,1,226499,6,10653,13,287,2,3144,3,3144,162,1664,0,0,0,0,0,0
googleapis/google-api-python-client,2,26329,107,26924,1073,18852,3,3707,9,3112,42,999,12,96308,391,100006,3179,49964,1,10913,2,7215,13,157
googleapis/google-auth-library-python,0,0,159,27556,606,7315,5,40661,30,13105,152,3274,0,0,25,5519,570,5593,1,11497,8,5978,63,1055
opentok/opentok-python-sdk,1,2636,22,5562,462,6711,3,9475,18,6549,51,996,3,16187,110,39410,2143,34835,4,41143,21,17920,126,2342
rasbt/mlxtend,0,0,1011,526223,18599,469509,5,744181,156,217958,1341,39810,8,125141,690,244203,11115,192603,8,197445,76,78383,512,22390
aamalev/aiohttp_apiset,0,0,68,24202,1792,20636,3,30752,14,6550,34,712,9,18605,58,21855,705,17945,2,7047,3,3797,5,74
totalopenstation/totalopenstation,0,0,28,7063,505,6153,2,10113,4,3050,19,471,0,0,0,0,0,-41,0,0,0,0,0,0
anaconda-platform/anaconda-client,1,2636,52,13264,973,15024,4,21295,22,10667,70,1629,4,17101,52,26860,702,18539,1,11176,4,1417,5,87
syncplay/syncplay,0,0,354,99137,9237,101532,3,166470,86,67333,403,6074,10,79288,420,137258,6370,80286,7,67397,12,9427,120,1910
