Identifier,Package,VersionConstraint
GHSA-mcg6-h362-cmq5,cobbler,">= 0,< 3.3.2"
GHSA-pm3h-mm62-pwm8,trytond,">= 5.0.0,< 5.0.46"
GHSA-pm3h-mm62-pwm8,trytond,">= 6.0.0,< 6.0.16"
GHSA-pm3h-mm62-pwm8,trytond,">= 6.1.0,< 6.2.6"
GHSA-pm3h-mm62-pwm8,proteus,">= 5.0.0,< 5.0.12"
GHSA-pm3h-mm62-pwm8,proteus,">= 6.0.0,< 6.0.5"
GHSA-pm3h-mm62-pwm8,proteus,">= 6.1.0,< 6.2.2"
GHSA-hm3x-jwwf-jpr9,tripleo-heat-templates,">= 0,< 11.6.1"
GHSA-6pc9-xqrg-wfqw,httpie,">= 0,< 3.1.0"
GHSA-4r65-35qq-ch8j,ansible,">= 0,< 2.9.27"
GHSA-mv2w-4jqc-6fg4,libvcs,">= 0,< 0.11.1"
GHSA-mv2w-4jqc-6fg4,vcspull,">= 0,< 1.11.1"
GHSA-cr8c-972v-rmp3,pgadmin4,">= 0,< 6.7"
GHSA-4f7p-27jc-3c36,waitress,">= 0,< 2.1.1"
GHSA-f897-875p-23x7,FreeTAKServer,">= 0,< 1.9.8.5"
GHSA-3872-f48p-pxqj,Weblate,">= 0,< 4.11.1"
GHSA-5p9j-w2wx-qx4c,django-spirit,">= 0,< 0.12.3"
GHSA-cjvr-mfj7-j4j8,scrapy,">= 0,< 1.8.2"
GHSA-cjvr-mfj7-j4j8,scrapy,">= 2.0.0,< 2.6.0"
GHSA-2q4g-wfm6-5fpm,salt,">= 0,< 3002.8"
GHSA-2q4g-wfm6-5fpm,salt,">= 3004,< 3004.1"
GHSA-2q4g-wfm6-5fpm,salt,">= 3003,< 3003.4"
GHSA-fh5v-5f35-2rv2,ansible,">= 2.8.0a1,< 2.8.19"
GHSA-fh5v-5f35-2rv2,ansible,">= 2.9.0b1,< 2.9.18"
GHSA-qg5x-66hp-cw5p,apache-dolphinscheduler,">= 0,< 2.0.5"
GHSA-9j59-75qj-795w,Pillow,">= 0,< 9.0.1"
GHSA-rv6r-3f5q-9rgx,twisted,">= 21.7.0,< 22.2.0"
GHSA-mcgw-5fhw-3fq8,saleor,">= 0,< 3.1.2"
GHSA-9rr6-jpg7-9jg6,pyspark,">= 0,< 3.1.3"
GHSA-qcr3-hr2f-6557,salt,">= 3002,< 3002.8"
GHSA-qcr3-hr2f-6557,salt,">= 3003,< 3003.4"
GHSA-qcr3-hr2f-6557,salt,">= 3004,< 3004.1"
GHSA-5r3f-3m3j-wcj2,salt,">= 0,< 3002.8"
GHSA-5r3f-3m3j-wcj2,salt,">= 3003,< 3003.4"
GHSA-5r3f-3m3j-wcj2,salt,">= 3004,< 3004.1"
GHSA-jr2m-29wj-w9qc,FreeTAKServer-UI,">= 0,<= 1.9.8"
GHSA-32gv-6cf3-wcmq,twisted,">= 0,< 19.10.0"
GHSA-p737-p57g-4cpr,jupyter-server,">= 0,< 1.15.4"
